example_id,customer_message,intent,conversation_id,brand_reply
EX_CASE_2934,@SpotifyCares Spotify 8.4.24.871 Android version 7.0 device: a brand new Huawei mate 9 . I will look like an ass if it's a matter of just updates😊,app_bug,2934,"@116387 Thanks. Is it happening over 3G/4G, WiFi, or both? Does logging out, fully closing the app, and restarting your device help? /KC"
EX_CASE_5031,@SpotifyCares Works. Blame IOS update.,app_bug,5031,"@116891 Glad to hear everything's working okay now. If there's anything else we can help you with, just give us a... https://t.co/AUc7DGJpgF 🙂 /CH"
EX_CASE_9375,@SpotifyCares I have logged in to multiple devices as well. All iPhones with iOS 11 updates. Same problem,app_bug,9375,@117673 Hmm. Could you give us the exact iOS 11 and Spotify app versions you're using? We'll see what else we can suggest /JU
EX_CASE_858,@SpotifyCares 2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S,feature_inquiry,858,"@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB"
EX_CASE_1877,"@SpotifyCares Made In Germany, Du Bist Gut, Cover Me and 20 Jahre (this one mostly). Because these are missing, a few compilations have greyed out tracks",feature_inquiry,1877,"@116129 2: Spotify content here: https://t.co/0i8GpimuDa. If you have anything else in mind, we're just a tweet away /RH"
EX_CASE_1877,"@SpotifyCares Made In Germany, Du Bist Gut, Cover Me and 20 Jahre (this one mostly). Because these are missing, a few compilations have greyed out tracks",feature_inquiry,1877,"@116129 1: Thanks! Looks like those albums are currently unavailable. Fingers crossed we'll be able to have them soon, but there's info about..."
EX_CASE_4995,"@SpotifyCares That stinks. Can you make it a feature, off by default, that I can enable?",feature_inquiry,4995,@116885 We hear you. We can’t make any promises but we’ll pass your feedback onto the right folks /RH
EX_CASE_4999,@SpotifyCares I used to use that feature as an example of great UX. 😂🙈🙉🙊,feature_inquiry,4999,"@116885 We understand. Don't worry, we'll let the right team know it's something you'd like to see again /NS"
EX_CASE_2802,"@SpotifyCares Montreal, where the ad itself says I’m not allowed to get the deal.

We had another tweet exchange a few days ago when you emailed me the same offer.",account_access,2802,@116375 Sorry about that. You shouldn’t have received an email/notification if you’re not eligible. Can you DM us your account's email address or username? /NQ https://t.co/ldFdZRiNAt
EX_CASE_2875,@SpotifyCares I'm using my facebook account as a method to log in.,account_access,2875,@116386 We see. Could you DM us your Facebook profile's email address? We'll help out there /CG https://t.co/ldFdZRiNAt
EX_CASE_8424,@SpotifyCares I login with facebook (__email__) - but i think my email account for spotify is my old one (__email__)  that is now defunct. What can I do?,account_access,8424,@117482 We'd recommend deleting your last tweet as it contains sensitive account info. You can DM it to us instead /NY https://t.co/ldFdZRiNAt
EX_CASE_36162,@SpotifyCares already tried with an other computer and for the password dont need it im loggin with my facebook account !,account_access,36162,@123872 Thanks for clarifying! Can you DM us your account's email address? We'll take a look backstage /CB https://t.co/ldFdZRiNAt
EX_CASE_38973,@SpotifyCares I am listening from the United States and my account is set in the U.S. as well. Hope that helps.,account_access,38973,@124511 2: version of Spotify you're using? We'll lend a hand /SY
EX_CASE_2952,"@SpotifyCares What keywords besides ""playlist"", ""playlists"", + ""song"" would I use?",playback_issue,2952,"@116393 We suggest using keywords similar to those used in the suggested idea. If you need anything else, give us a shout /RB"
EX_CASE_2949,"@SpotifyCares Hi. My @115888 playlists idea's status got changed + can't receive any votes. They sent me a link to a ""similar idea"", but it's closed.",playback_issue,2949,@116393 Hi Daniel! Can you send us the link to the idea you posted? We'll take a look at what happened 🙂 /NH
EX_CASE_6617,@SpotifyCares No it didn't crash. I was cooking dinner and heard about 3 songs. Each song is about 2-3 mins. After the third song the ad played.,playback_issue,6617,"@117167 Thanks for confirming! Just to check, did you definitely watch the video ad in full after hearing the offer? /RA"
EX_CASE_8673,"@SpotifyCares Thanks 4 the speedy response but I think I discovered what’s going on, does the desktop app have a way to play music from personal folders?",playback_issue,8673,@117212 2: here: https://t.co/SgMwFS1ONz. Let us know if you have other questions /JU
EX_CASE_8673,"@SpotifyCares Thanks 4 the speedy response but I think I discovered what’s going on, does the desktop app have a way to play music from personal folders?",playback_issue,8673,@117212 1: That may be it. You may have synced your local files into the Spotify app while logged in to your account. We have more info...
EX_CASE_40657,@SpotifyCares But can I put my account number in so my payment can still comes out,billing_issue,40657,"@124926 Currently, not directly through Spotify. However, can you DM us your account's username and email address? We'll see what we can suggest /TY"
EX_CASE_53714,@SpotifyCares Can I use Paypal linked to my UK bank account?,billing_issue,53714,@128146 Does your PayPal account meet the requirements at https://t.co/3c3EcbDUkG? /AP https://t.co/ldFdZRiNAt
EX_CASE_60385,@SpotifyCares Foo fighters in Atalanta on 4/28. Possibly part of the credit card on file with Spotify...,billing_issue,60385,@129809 Thanks. Pre-sale codes are being sent out by email to some of Foo Fighter's biggest fans on Spotify. Hopefully you're one of them! /JP
EX_CASE_72086,@SpotifyCares I wanted you to know that I don’t pay for music.,billing_issue,72086,@132184 No worries. You could still enjoy Spotify while on our Free service. More info here: https://t.co/DDxx570cXi. Hope this helps /MU
EX_CASE_72089,"@SpotifyCares Literally you overslept, the world is your playground. Spotlight on your music. I cant find the most music on Spotify. It Only got mainstream music Which i hate, because they are money hungry untalanted people. You are the most powerful app yet you don’t have much music.",billing_issue,72089,"@132184 We hear you. We'd love to have everything available for everyone, but we've got info about content here: https://t.co/1dgftcFtzc. Hope this clears things up /MU"
