case_id,customer_message,predicted_intent,generated_reply,human_relevance,human_groundedness,human_resolution_match,human_actionability,human_safety,human_overall_score,human_notes
CASE_1579914,Why when Im trying to listen to an artist on @115888 does it decide to play other artists? If I wanted to listen to them I would but I dont,playback_issue,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_1023284,"@spotifycares was suddenly logged out of spotify on my browser.  can't login, getting an error that reads:  Oops, something went wrong.",account_access,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_1926779,@115888 where did your search bar go in the app????,other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_891638,@SpotifyCares for both I'm in need of assistance asap,other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_2165529,"I’m wishing for this, dear @115888. Both as a listener and a podcast host. Such an app would rock how you listen and review podcasts. #podcast https://t.co/WqltpxVIyT",feature_inquiry,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_1659866,@SpotifyCares Thank you!,other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_568941,@SpotifyCares I find the policy of not allowing members to view family plan information they set up to be extremely frustrating. There is no mention when entering the information to set up the account that you will never be able to view this info again. Total lack of transparency,subscription_issue,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_48097,. @115888 Care to explain what Nickelback is doing in a Metal playlist? https://t.co/b9BiPeIyAR,playback_issue,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_2439916,@131098 hoe kan ik mijn KPN Spotify premium upgraden naar Spotify Family? #durftevragen,subscription_issue,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_1263129,@415831 @115888 Android.,other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_380248,@SpotifyCares Why can't I play the song? 😧,playback_issue,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_1762504,@SpotifyCares Any chance this will be changed to allow more songs?,other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_2483221,@709454 @115888 Hey @SpotifyCares put chance the rappers entire discography on there while you’re at. Coloring book is 10/10 but so is acid rap and 10 day,other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_1431105,@SpotifyCares Why is the trial period for Premium currently only 7d when you are (still) advertising it to be 30d?,subscription_issue,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_841108,"@SpotifyCares iPhone 7, IOS 11.0.2 and version of Spotify is: https://t.co/vNLGnEada0",other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_2030150,@SpotifyCares i already paid my spotify premium but it can't be used. why should i do?,subscription_issue,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_2603349,"@SpotifyCares Love the service, beta test me anything.. iPhone 5s/6s Android++ and Blackberry keyone ✊🇨🇦",other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_720701,"De serie is leuk, maar wat betekent dit in @115888? https://t.co/QzbSzEblZi",other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_2616828,@SpotifyCares had to cancel my premium because I’m unable to update cc info from an old card! Help?!,subscription_issue,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_2684255,@SpotifyCares Doesn’t work - Did the same as before and go back into the app and it thinks it is still playing music but it has been stopped by the video,playback_issue,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
